Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Spencer Dinwiddie,31.0,DAL,PG,21.0,0.0,21.2,2.4,5.8,0.418,1.4,3.6,0.395,1.0,2.2,0.457,0.541,1.7,2.0,0.857,0.1,1.6,1.7,3.1,0.6,0.3,0.7,1.6,8.0,,2024-25
DaQuan Jeffries,27.0,CHO,SG,1.0,0.0,16.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,,2024-25
Brandin Podziemski,21.0,GSW,SG,20.0,7.0,24.9,3.1,8.2,0.38,0.8,3.6,0.211,2.4,4.6,0.511,0.426,1.1,1.4,0.75,1.1,3.9,5.0,3.5,0.8,0.4,1.3,1.9,8.0,,2024-25
Moses Moody,22.0,GSW,SG,21.0,4.0,16.5,2.7,6.3,0.424,1.4,3.7,0.372,1.3,2.6,0.5,0.534,1.2,1.7,0.714,0.4,1.5,2.0,1.0,0.3,0.3,0.8,1.2,7.9,,2024-25
Larry Nance Jr.,32.0,ATL,PF,9.0,1.0,15.6,3.1,4.8,0.651,1.6,2.4,0.636,1.6,2.3,0.667,0.814,0.1,0.2,0.5,1.1,1.3,2.4,1.2,0.8,0.3,0.4,1.2,7.9,,2024-25
Andrew Nembhard,25.0,IND,SG,9.0,9.0,24.4,3.0,7.6,0.397,0.6,2.1,0.263,2.4,5.4,0.449,0.434,1.3,1.6,0.857,0.1,1.7,1.8,4.6,1.0,0.0,1.3,2.1,7.9,,2024-25
Brice Sensabaugh,21.0,UTA,SF,15.0,0.0,16.4,2.7,6.2,0.441,1.7,4.0,0.417,1.1,2.2,0.485,0.575,0.7,0.8,0.917,0.7,1.6,2.3,0.7,0.5,0.1,1.5,0.9,7.9,,2024-25
Trayce Jackson-Davis,24.0,GSW,C,21.0,18.0,17.2,3.5,5.8,0.607,0.0,0.0,0.0,3.5,5.8,0.612,0.607,0.8,1.3,0.571,1.7,3.2,4.9,2.0,0.3,0.7,0.8,1.2,7.8,,2024-25
Herbert Jones,26.0,NOP,SF,5.0,5.0,29.0,3.2,7.2,0.444,0.8,3.2,0.25,2.4,4.0,0.6,0.5,0.6,1.2,0.5,0.8,2.6,3.4,1.8,2.2,0.4,1.2,2.4,7.8,,2024-25
Jalen Smith,24.0,CHI,C,20.0,0.0,14.4,2.7,6.0,0.454,1.2,3.4,0.358,1.5,2.6,0.577,0.555,1.2,1.5,0.767,1.4,3.7,5.1,0.8,0.4,0.7,0.7,1.6,7.8,,2024-25
Talen Horton-Tucker,24.0,CHI,SG,17.0,0.0,11.5,2.7,4.9,0.554,1.1,2.1,0.514,1.6,2.8,0.583,0.663,1.2,1.7,0.724,0.5,1.5,1.9,1.6,0.2,0.2,0.6,0.9,7.7,,2024-25
Nikola Jović,21.0,MIA,PF,14.0,8.0,18.2,2.8,6.2,0.448,1.0,3.1,0.318,1.8,3.1,0.581,0.529,1.1,1.4,0.8,0.6,3.1,3.7,1.3,0.9,0.1,0.6,1.4,7.7,,2024-25
Wendell Carter Jr.,25.0,ORL,C,11.0,11.0,25.5,2.7,5.5,0.5,0.4,2.2,0.167,2.4,3.3,0.722,0.533,1.8,2.5,0.714,2.0,5.6,7.6,2.3,1.0,0.6,0.9,2.7,7.6,,2024-25
Noah Clowney,20.0,BRK,PF,15.0,1.0,16.5,2.5,6.3,0.394,1.5,4.1,0.377,0.9,2.2,0.424,0.516,1.0,1.4,0.714,0.9,2.2,3.1,0.7,0.3,0.6,0.7,2.4,7.5,,2024-25
Tristan Da Silva,23.0,ORL,SF,20.0,14.0,23.8,2.9,6.9,0.416,1.2,3.6,0.338,1.7,3.3,0.5,0.504,0.6,0.8,0.75,0.8,2.9,3.7,1.7,0.4,0.2,0.5,1.3,7.5,,2024-25
Kyshawn George,21.0,WAS,SG,19.0,6.0,26.2,2.6,7.8,0.336,1.3,5.1,0.247,1.4,2.7,0.5,0.416,1.0,1.4,0.731,0.7,3.4,4.1,2.6,0.7,0.7,1.0,3.2,7.5,,2024-25
