Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Tim Frazier,MEM,5.0,12.4,0.6,4.0,0.15,0.0,0.0,0.6,0.25,0.15,0.4,1.2,0.333,0.0,1.6,1.6,3.2,0.4,0.2,0.8,1.6,2020-21,0.18,0.4,
Rodions Kurucs,3TM,21.0,6.0,0.5,1.5,0.344,0.3,0.286,0.2,0.455,0.438,0.1,0.2,0.75,0.2,0.9,1.1,0.5,0.4,0.2,0.6,1.5,2020-21,0.47,0.1,
Rodions Kurucs,BRK,5.0,3.2,0.2,0.6,0.333,0.2,0.5,0.0,0.0,0.5,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.6,2020-21,0.5,0.24,
Rodions Kurucs,HOU,11.0,6.8,0.5,1.9,0.238,0.2,0.133,0.3,0.5,0.286,0.1,0.2,0.5,0.2,0.8,1.0,0.4,0.5,0.4,0.8,1.2,2020-21,0.3,0.11,
Rodions Kurucs,MIL,5.0,6.8,1.0,1.6,0.625,0.6,0.75,0.4,0.5,0.813,0.4,0.4,1.0,0.6,1.2,1.8,0.8,0.6,0.0,0.8,3.0,2020-21,0.84,0.96,
Norvel Pelle,3TM,13.0,6.5,0.6,1.2,0.533,0.0,,0.6,0.533,0.533,0.3,0.5,0.667,0.5,1.0,1.5,0.2,0.1,0.7,0.2,1.5,2020-21,0.53,0.23,
Norvel Pelle,BRK,3.0,9.3,1.0,2.3,0.429,0.0,,1.0,0.429,0.429,0.0,0.0,,1.0,1.3,2.3,0.0,0.0,1.0,1.0,2.0,2020-21,0.43,1.0,
Norvel Pelle,SAC,1.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,3.0,4.0,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2020-21,0.54,3.0,
Norvel Pelle,NYK,9.0,5.8,0.6,0.8,0.714,0.0,,0.6,0.714,0.714,0.1,0.2,0.5,0.2,1.0,1.2,0.1,0.1,0.7,0.0,1.2,2020-21,0.68,0.33,
Bruno Fernando,ATL,33.0,6.8,0.5,1.3,0.409,0.0,0.0,0.5,0.429,0.409,0.5,0.7,0.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,1.5,2020-21,0.47,0.08,
Cassius Stanley,IND,24.0,3.9,0.5,1.8,0.302,0.1,0.231,0.4,0.333,0.337,0.3,0.4,0.778,0.3,0.5,0.8,0.0,0.0,0.1,0.0,1.5,2020-21,0.38,0.04,
